activity_name,orgs_with_activity,coverage_rate,conv_rate_with_activity,conv_rate_without_activity,lift,odds_ratio,p_value
Timesheets.BulkApprove.Confirmed,10,0.010351966873706004,0.0,0.21548117154811716,0.0,0.0,0.13122629607401656
Communication.Message.Created,145,0.15010351966873706,0.16551724137931034,0.22168087697929353,0.7466464569912846,0.6963945145763327,0.1524566320408658
Scheduling.OpenShiftRequest.Created,43,0.044513457556935816,0.3023255813953488,0.20910075839653305,1.4458368478129893,1.6390328151986182,0.18004179117134184
Scheduling.ShiftHandover.Created,11,0.011387163561076604,0.36363636363636365,0.21151832460732983,1.7191719171917192,2.13012729844413,0.26095380898003373
Scheduling.Template.ApplyModal.Applied,108,0.11180124223602485,0.25,0.20862470862470864,1.1983240223463687,1.2644320297951583,0.3203315736920428
Scheduling.Shift.Created,848,0.8778467908902692,0.21816037735849056,0.17796610169491525,1.2258535489667566,1.288874524168642,0.34014100922602974
Scheduling.ShiftSwap.Accepted,6,0.006211180124223602,0.0,0.21458333333333332,0.0,0.0,0.3513309526438599
PunchClock.Entry.Edited,7,0.007246376811594203,0.0,0.21480709071949947,0.0,0.0,0.35634874139213124
Scheduling.ShiftHandover.Accepted,9,0.009316770186335404,0.3333333333333333,0.21212121212121213,1.5714285714285714,1.8571428571428572,0.4112411762695849
Scheduling.ShiftSwap.Created,12,0.012422360248447204,0.08333333333333333,0.2148846960167715,0.38780487804878044,0.3321507760532151,0.4781529383873555
PunchClockEndNote.Add.Completed,28,0.028985507246376812,0.14285714285714285,0.21535181236673773,0.6633663366336634,0.6072607260726073,0.4840052344838711
Absence.Request.Rejected,14,0.014492753623188406,0.2857142857142857,0.21218487394957983,1.3465346534653464,1.4851485148514851,0.5124992004018616
PunchClock.PunchedIn,211,0.21842650103519667,0.22748815165876776,0.20927152317880796,1.087047813306137,1.1126815251999689,0.5692923609732256
Revenue.Budgets.Created,4,0.004140786749482402,0.0,0.21413721413721415,0.0,0.0,0.5836639430915455
Scheduling.Shift.Approved,200,0.2070393374741201,0.22,0.21148825065274152,1.040246913580247,1.0515986071541628,0.7722033351639144
PunchClockStartNote.Add.Completed,19,0.019668737060041408,0.15789473684210525,0.21436114044350582,0.7365828364013481,0.687192118226601,0.77830454159922
Scheduling.Availability.Set,59,0.061076604554865424,0.22033898305084745,0.2127894156560088,1.0354790550627908,1.045505744537058,0.8703627658617537
Scheduling.Shift.AssignmentChanged,343,0.35507246376811596,0.21574344023323616,0.21187800963081863,1.0182436611008039,1.0232623634110622,0.9346062014846142
Mobile.Schedule.Loaded,456,0.4720496894409938,0.21271929824561403,0.21372549019607842,0.995292129406084,0.9940200863765302,1.0
Absence.Request.Created,39,0.040372670807453416,0.20512820512820512,0.21359223300970873,0.9603729603729604,0.9501466275659824,1.0
Absence.Request.Approved,35,0.036231884057971016,0.2,0.21374865735767992,0.935678391959799,0.9195979899497487,1.0
ShiftDetails.View.Opened,45,0.046583850931677016,0.2,0.21389793702497287,0.9350253807106599,0.9187817258883249,1.0
Break.Activate.Finished,6,0.006211180124223602,0.16666666666666666,0.21354166666666666,0.7804878048780488,0.7365853658536585,1.0
Break.Activate.Started,6,0.006211180124223602,0.16666666666666666,0.21354166666666666,0.7804878048780488,0.7365853658536585,1.0
Integration.Xero.PayrollExport.Synced,6,0.006211180124223602,0.16666666666666666,0.21354166666666666,0.7804878048780488,0.7365853658536585,1.0
PunchClock.PunchedOut,8,0.008281573498964804,0.125,0.2139874739039666,0.5841463414634146,0.5247386759581881,1.0
Scheduling.OpenShiftRequest.Approved,3,0.003105590062111801,0.0,0.21391484942886813,0.0,0.0,1.0
Shift.View.Opened,2,0.002070393374741201,0.0,0.21369294605809128,0.0,0.0,1.0
