feature,coef_log_odds,odds_ratio,abs_coef
did__Absence.Request.Rejected,1.0364047362253321,2.819063496134266,1.0364047362253321
did__PunchClockEndNote.Add.Completed,1.007217064622565,2.7379708069324034,1.007217064622565
did__ShiftDetails.View.Opened,-0.8240224314800605,0.4386636066636594,0.8240224314800605
did__Absence.Request.Approved,-0.7711221605196471,0.4624937847401416,0.7711221605196471
Scheduling.OpenShiftRequest.Approved,-0.7258501688068161,0.4839129862966215,0.7258501688068161
did__Communication.Message.Created,-0.6762143029592338,0.5085385256910308,0.6762143029592338
Scheduling.ShiftSwap.Accepted,-0.6561703667034712,0.5188344805088843,0.6561703667034712
did__Scheduling.ShiftHandover.Accepted,0.6190489750399762,1.8571609952655437,0.6190489750399762
did__Scheduling.ShiftHandover.Created,0.5679386968258627,1.7646258710255314,0.5679386968258627
Scheduling.ShiftHandover.Created,0.5666272638963865,1.7623131993384207,0.5666272638963865
PunchClockEndNote.Add.Completed,-0.5547639400150296,0.5742077926819368,0.5547639400150296
PunchClock.Entry.Edited,-0.5416819869099233,0.5817689013004474,0.5416819869099233
did__PunchClockStartNote.Add.Completed,0.4552466690662386,1.5765622242061872,0.4552466690662386
Timesheets.BulkApprove.Confirmed,-0.42057054424199,0.656672052456139,0.42057054424199
did__PunchClock.Entry.Edited,-0.41212963889703635,0.6622384186288456,0.41212963889703635
Integration.Xero.PayrollExport.Synced,-0.4111526656250247,0.6628857240120878,0.4111526656250247
Break.Activate.Finished,0.4061442468096875,1.5010190540526396,0.4061442468096875
did__Integration.Xero.PayrollExport.Synced,-0.39481497875366645,0.6738046959010684,0.39481497875366645
did__Scheduling.ShiftSwap.Created,0.3910510932721077,1.4785340546260803,0.3910510932721077
did__PunchClock.PunchedIn,0.3804539072075677,1.4629484816102072,0.3804539072075677
did__Timesheets.BulkApprove.Confirmed,-0.33029616245380483,0.7187108467410129,0.33029616245380483
Scheduling.ShiftHandover.Accepted,-0.3222189266790174,0.724539551927527,0.3222189266790174
did__Absence.Request.Created,-0.2988094776233815,0.7417007065558041,0.2988094776233815
PunchClock.PunchedOut,0.2748581018396311,1.3163438748403922,0.2748581018396311
Scheduling.OpenShiftRequest.Created,0.2734816961047361,1.3145332979120457,0.2734816961047361
Absence.Request.Approved,0.2597995121117056,1.2966700939549964,0.2597995121117056
Scheduling.Template.ApplyModal.Applied,0.2553039914314862,1.2908539697806287,0.2553039914314862
Revenue.Budgets.Created,-0.24222959506318348,0.7848759532192421,0.24222959506318348
did__Scheduling.OpenShiftRequest.Approved,-0.23921767812794398,0.787243498029166,0.23921767812794398
did__Scheduling.ShiftSwap.Accepted,-0.22687178542034042,0.7970229657038247,0.22687178542034042
Absence.Request.Rejected,0.2208303874674215,1.2471118868188047,0.2208303874674215
Communication.Message.Created,0.21817221840580003,1.2438012546442656,0.21817221840580003
ShiftDetails.View.Opened,0.21128374512984302,1.235262805144827,0.21128374512984302
did__Scheduling.Template.ApplyModal.Applied,0.19495252584209213,1.2152532919935606,0.19495252584209213
Scheduling.Shift.Created,0.19208428827160143,1.2117726508828113,0.19208428827160143
Mobile.Schedule.Loaded,0.19096034950187654,1.2104114577125729,0.19096034950187654
total_events,-0.19089605048272149,0.8262184686984836,0.19089605048272149
Scheduling.Shift.Approved,0.1906265636380306,1.2100075068988374,0.1906265636380306
PunchClock.PunchedIn,0.1883397338628825,1.2072435872153364,0.1883397338628825
Absence.Request.Created,0.1869734474973159,1.2055952730532036,0.1869734474973159
Scheduling.Shift.AssignmentChanged,0.18437123610293177,1.2024621376050337,0.18437123610293177
Scheduling.Availability.Set,0.18265847513915368,1.2004043701302713,0.18265847513915368
did__Break.Activate.Started,-0.17764101269488225,0.8372429291295429,0.17764101269488225
did__Break.Activate.Finished,-0.17764101269488225,0.8372429291295429,0.17764101269488225
Shift.View.Opened,-0.15933272940112342,0.8527125892133397,0.15933272940112342
did__Shift.View.Opened,-0.15933135052655986,0.8527137649978496,0.15933135052655986
did__Scheduling.Shift.Created,-0.15545468162678733,0.8560258697497538,0.15545468162678733
did__Revenue.Budgets.Created,-0.14600355980902413,0.8641546269537281,0.14600355980902413
did__PunchClock.PunchedOut,0.13918625375477806,1.1493381486149967,0.13918625375477806
did__Scheduling.OpenShiftRequest.Created,0.130041635421167,1.1388757999110963,0.130041635421167
PunchClockStartNote.Add.Completed,-0.10664072393605863,0.8988485497549212,0.10664072393605863
did__Scheduling.Shift.AssignmentChanged,-0.09883610557788625,0.9058911663666787,0.09883610557788625
did__Scheduling.Shift.Approved,0.09216597051446769,1.0965468014155662,0.09216597051446769
did__Scheduling.Availability.Set,0.08737313554457095,1.0913038079972275,0.08737313554457095
Scheduling.ShiftSwap.Created,-0.07853714321377431,0.9244677215916284,0.07853714321377431
Break.Activate.Started,0.025737482899883483,1.0260715517860837,0.025737482899883483
active_days,-0.01224604368563927,0.9878286339612626,0.01224604368563927
did__Mobile.Schedule.Loaded,-0.011421487603528792,0.9886434899705497,0.011421487603528792
module_breadth,0.0012528365680821568,1.00125362169566,0.0012528365680821568
unique_activities,0.0012528365680821558,1.00125362169566,0.0012528365680821558
